Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Deassertions_Enabled,Time_elapsed
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,19.95755
Total Power,215.0,Unknown,217,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,20.53768
CPU1 Power,215.1,Unknown,12,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,20.96556
CPU2 Power,215.2,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,21.40171
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,21.76219
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,22.27023
Total Power,215.0,Unknown,217,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,22.76156
CPU1 Power,215.1,Unknown,15,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,23.38166
CPU2 Power,215.2,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,23.80164
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,24.26969
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,24.80569
Total Power,215.0,Unknown,238,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,25.23738
CPU1 Power,215.1,Unknown,19,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,25.66572
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,26.14616
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,26.75355
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,27.18156
Total Power,215.0,Unknown,238,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,27.64217
CPU1 Power,215.1,Unknown,15,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,28.04968
CPU2 Power,215.2,Unknown,22,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,28.52156
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,28.96662
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,29.50557
Total Power,215.0,Unknown,238,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,29.92571
CPU1 Power,215.1,Unknown,15,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,30.35353
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,30.88266
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,31.36963
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,31.90554
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,32.55357
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,33.05354
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,33.58217
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,34.12159
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,34.53351
Total Power,215.0,Unknown,231,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,34.90570
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,35.43818
CPU2 Power,215.2,Unknown,21,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,35.95019
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,36.36548
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,36.76968
Total Power,215.0,Unknown,217,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,37.24562
CPU1 Power,215.1,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,37.69005
CPU2 Power,215.2,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,38.16562
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,38.74227
